iata;icao;nvls;name
;;5337;Danish Defence Accounting Agency
;;5339;Special Air Mission Wing MoD
;;5344;Miracle Flight Support FZE
;;5343;EXUPAIR Aviation Support
;;5340;Mission Preparation
;;5341;SIERRA HAVACILIK
;AWH;5298;Aerowest
;;5345;Government of the Republic of Croatia
;;5348;State Air Enterprise Ukraine
;;5346;Associated Energy Group
;;5208;Acces Flight Support
;;5347;AML Global Limited
;;5254;Airline Service Agent
;;5195;Aurora Aviation S.A.
;;5262;BOEING DIGITAL SOLUTIONS
;;5207;Cargo Air Chartering
;;5250;Avialink B.V.
;;5279;airseven
;;5220;DAT LT UAB
;EGW;5229;EGO AIRWAYS
;;5323;Fly Dynamics Flight Support
;;5209;Click Aviation Network
;FSF;5247;Global Airlift Solutions AG
;;5245;Embassy of India
;HST;5261;Heston Airlines, UAB
;REV;5230;RVL Aviation
;KLJ;5232;UAB Klasjet
;SXI;5303;SXI
;;5098;World Fuel Services Corporative Aviation Supprt SV
;;5219;UAS International Trip Support
;;5214;Jetex FZE
;;5132;Sand Air
;;5222;SUCCESS AVIATION SERVICES FZCO
;;5255;Global Jet Limited
;;5269;HeliCentre Lelystad
;;5290;UNIVERSAL TRANSLINK
;;5236;IJet Global DMCC
;;5263;SpringJet SA
;;5271;KUB Air Cargo
;;5305;Necamco B.V.
;;5190;Link
;;5295;GRA
;;5311;WFS
;;5314;WFS
;;6335;Centreline AV Limited
;;5196;AEG
;;6336;Embassy of Japan in the Netherlands
;;6337;Ministry of Defense  Embassy of Ukraine
